1.38,5.32,1.98,8.18,7.44,9.45,5.34,9.14,2.07
6.54,7.78,6.9,8.4,8.21,8.94,4.15,7.7,3.72
1.59,4.64,2.11,7.13,6.59,7.85,2.84,5.84,1.41
1.96,3.08,2.62,6.33,6.27,8.94,4.88,8.79,2.89
0.13,6.65,1.97,8.71,6.67,9.33,2.94,4.83,0.29
1.47,5.44,2.26,9.05,6.79,9.66,3.88,7.66,2.8
0.33,4.74,1.64,7.93,4.76,9.49,2.94,4.77,0.22
1.54,4.19,2.23,7.22,6.54,8.53,3.75,7.03,3.73
0.78,4.5,1.59,7.71,6.46,8.33,2.88,4.49,0.06
0.97,2.44,1.03,7.0,4.32,9.26,5.32,7.6,1.04
2.41,6.29,2.84,9.02,7.48,9.73,4.37,7.66,1.79
0.22,2.1,1.73,5.7,3.52,7.05,1.27,4.42,0.11
3.09,4.57,4.01,9.03,8.49,9.98,6.88,9.2,5.41
1.05,1.69,1.17,8.43,3.2,9.67,3.43,6.3,0.37
1.34,3.83,3.05,8.69,6.62,9.6,2.45,8.02,2.69
1.67,3.63,1.97,9.3,5.74,9.46,4.71,7.49,3.0
1.9,5.03,4.72,8.86,8.58,9.22,5.45,6.74,0.94
1.14,1.7,1.69,7.74,4.64,8.19,3.08,7.52,0.1
0.23,3.82,1.35,6.39,4.35,7.74,6.4,6.94,5.76
0.97,6.48,2.18,7.84,6.63,9.78,6.16,9.7,5.63
1.14,3.64,2.95,8.75,6.01,9.53,3.1,4.77,2.63
1.38,4.12,2.97,9.32,4.89,9.37,0.08,5.62,0.05
0.49,3.43,0.57,7.87,4.28,9.96,5.97,6.84,3.87
3.68,5.42,4.0,7.86,7.4,9.42,5.01,8.94,1.2
3.42,3.8,3.79,8.83,8.53,9.54,4.46,6.7,4.62
0.57,2.92,1.57,7.89,4.99,8.31,4.19,6.81,1.79
0.65,4.43,4.19,9.75,6.72,9.91,7.16,8.55,3.59
1.26,5.27,3.4,8.08,7.19,8.53,5.08,7.93,4.03
0.65,1.14,0.87,8.22,3.03,8.62,4.62,7.85,1.38
2.18,3.23,3.12,8.92,6.48,8.97,6.09,8.84,2.78
5.69,6.61,6.16,8.8,7.84,8.83,5.05,8.34,4.16
1.57,4.93,1.99,8.56,7.21,8.68,1.39,5.23,0.8
0.2,5.4,0.81,9.86,8.42,9.99,7.73,8.87,3.8
2.44,4.76,3.51,9.49,9.02,9.59,4.06,9.02,0.49
1.44,3.74,2.97,7.83,4.82,8.82,2.62,4.93,0.07
1.66,4.52,2.47,8.35,8.16,9.89,5.53,9.18,1.35
1.15,1.85,1.65,8.56,4.76,9.91,2.93,5.97,2.53
1.06,3.53,3.36,9.07,7.13,9.31,2.49,5.72,0.38
0.49,4.08,3.38,8.7,8.66,9.77,3.61,8.26,1.76
1.11,3.69,1.58,8.5,8.02,8.85,7.38,8.18,6.04
0.33,3.89,2.15,7.88,7.13,9.46,0.14,5.23,0.25
0.47,6.23,2.95,8.84,7.36,9.14,3.78,7.33,3.43
0.03,2.66,0.51,5.62,5.44,9.03,2.98,8.98,1.42
0.2,4.12,2.26,9.56,8.85,9.66,6.25,7.77,1.37
0.5,1.63,1.02,6.82,6.79,8.78,4.59,6.81,3.32
0.55,4.86,1.35,8.86,5.48,9.57,0.69,6.86,1.25
4.84,5.75,4.85,8.42,7.02,9.32,4.99,6.13,2.41
1.1,5.8,2.45,8.29,6.28,9.96,1.63,9.93,0.98
0.19,2.05,1.81,9.26,9.14,9.67,5.21,7.02,4.41
2.79,3.74,3.5,8.05,5.05,9.44,2.61,7.35,0.59
0.03,4.23,0.76,6.68,6.15,8.68,2.97,7.23,0.59
0.37,3.3,2.35,5.59,5.01,7.92,2.78,4.14,2.62
0.24,3.89,0.58,7.19,6.32,9.61,0.73,2.96,0.4
1.06,3.16,1.42,7.83,6.41,8.88,4.48,6.65,4.62
2.13,3.86,3.23,9.08,6.4,9.46,1.88,5.03,1.22
0.76,2.65,1.02,6.68,6.43,8.84,0.97,2.81,0.11
0.27,5.19,2.41,8.66,5.5,9.83,4.18,8.2,1.22
1.2,4.98,1.21,6.39,5.77,9.77,8.64,9.53,7.27
1.31,2.1,1.61,7.68,3.55,8.68,5.42,7.7,0.41
1.67,2.13,2.06,6.37,5.32,9.55,5.03,9.37,3.53
0.0,2.28,2.2,6.3,6.16,8.51,4.72,8.35,4.77
0.26,2.08,0.92,9.58,5.35,10.0,7.21,7.92,5.63
1.46,3.11,2.02,9.11,6.96,9.76,0.62,7.46,0.59
3.64,5.27,4.13,9.06,8.44,9.56,5.98,8.17,3.69
4.55,6.14,5.61,9.02,7.83,9.81,0.91,5.62,0.3
0.57,3.08,1.25,7.74,3.15,8.97,0.2,7.77,0.5
2.4,5.21,2.5,7.52,5.77,7.91,5.99,7.4,0.79
1.4,5.02,2.35,8.79,6.72,9.71,4.35,8.99,2.4
0.13,3.77,1.23,7.08,5.94,8.85,2.8,8.23,3.13
2.24,6.48,3.05,9.76,9.46,9.79,8.13,9.43,4.39
1.26,3.74,1.58,8.81,6.53,8.83,4.43,8.04,3.65
0.38,4.13,1.28,8.81,4.38,9.53,3.25,6.64,2.75
1.86,3.56,2.5,6.88,4.7,7.6,1.44,6.07,1.25
1.88,5.15,4.51,7.92,6.0,9.06,0.86,8.92,1.12
0.23,1.93,0.46,7.95,6.96,9.48,2.18,6.04,2.37
0.91,3.61,1.77,8.26,3.87,9.7,5.69,8.27,5.21
0.37,1.17,0.41,7.28,3.94,9.32,2.88,5.46,2.65
2.11,4.98,2.59,8.53,7.13,8.71,1.53,5.56,0.2
1.2,4.1,1.63,9.5,6.09,9.62,1.4,5.57,1.57
0.47,5.99,0.67,9.55,6.54,9.63,6.16,9.62,0.47
0.5,0.78,0.55,9.05,1.32,9.73,6.81,8.98,2.45
1.78,5.59,3.26,7.97,7.13,8.82,5.52,8.18,1.24
3.16,5.0,4.53,8.94,6.75,9.91,3.9,6.07,0.12
1.83,5.92,2.57,9.89,7.72,9.94,3.61,8.85,3.14
1.19,3.73,3.36,8.67,5.05,9.02,4.34,5.46,3.9
1.68,6.2,2.36,7.71,7.25,7.83,3.09,4.49,1.07
0.07,5.75,0.73,8.62,6.87,9.34,5.35,8.2,3.34
0.12,0.63,0.45,6.72,3.6,7.68,0.64,2.53,0.44
3.69,6.62,3.82,8.96,8.17,9.86,4.83,9.58,5.09
1.23,5.67,1.29,6.86,6.36,7.52,2.83,5.27,0.79
2.18,6.05,3.89,8.25,6.19,9.91,1.29,7.39,1.33
1.7,4.64,2.37,7.83,6.48,9.29,2.34,7.02,0.04
0.13,1.09,0.37,7.29,6.99,9.47,4.71,9.38,1.51
0.28,4.36,1.36,7.08,5.39,9.64,3.28,7.91,2.19
2.34,4.65,2.77,7.88,7.58,9.47,5.55,6.96,5.66
1.21,1.6,1.32,8.16,7.71,9.6,1.62,3.24,0.58
0.12,3.97,1.24,5.79,5.09,7.48,5.63,6.62,3.21
1.03,6.06,1.28,8.13,6.36,9.73,2.56,7.58,2.78
0.38,4.11,3.5,9.38,6.48,9.97,2.58,7.01,2.4
1.6,2.23,1.85,8.13,2.73,8.5,5.54,7.57,3.36
0.01,2.64,0.26,5.63,5.54,7.15,1.22,6.6,0.28
